isRefactor,totalRefactors,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,revision,age,authors,totalAuthors,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions,isSZZBugIntroducer
False,1.0,0.3662,0.4522,0.4522,0.4522,10.0,23351615.0,1.0,1.0,816.0,55.0,0.06740196,0.8388,0.6852,,True
False,1.0,0.4511,0.4511,0.4511,0.4511,11.0,23431423.0,1.0,1.0,816.0,3.0,0.0036764706,0.8404,0.6866,,True
False,1.0,0.3335,0.3352,0.3352,0.3352,12.0,29950506.0,1.0,1.0,816.0,1.0,0.0012254902,0.8269,0.6797,,True
False,1.0,0.3352,0.3451,0.3451,0.3451,13.0,29951042.0,1.0,1.0,817.0,5.0,0.006119951,0.827,0.6795,,True
False,1.0,0.3134,0.393,0.393,0.393,14.0,32052153.0,1.0,1.0,864.0,55.0,0.06365741,0.8246,0.6807,,True
False,1.0,0.3923,0.4021,0.4021,0.4021,15.0,32074759.0,1.0,1.0,871.0,11.0,0.012629162,0.8248,0.6797,,True
False,1.0,0.4006,0.5619,0.5619,0.5619,16.0,32159590.0,1.0,1.0,952.0,144.0,0.15126051,0.8461,0.5332,,True
False,1.0,0.5496,0.5515,0.5515,0.5515,17.0,32674676.0,1.0,1.0,951.0,3.0,0.0031545742,0.8443,0.5292,,False
False,1.0,0.4949,0.4972,0.4972,0.4972,18.0,34996357.0,1.0,1.0,952.0,4.0,0.004201681,0.8165,0.4069,,False
False,1.0,0.494,0.5086,0.5086,0.5086,19.0,35159340.0,1.0,1.0,954.0,24.0,0.025157232,0.8165,0.405,,False
False,1.0,0.4147,0.4423,0.4423,0.4423,20.0,39555159.0,1.0,1.0,963.0,41.0,0.042575285,0.8509,0.2099,,True
False,1.0,0.3093,0.333,0.333,0.333,21.0,47258722.0,1.0,1.0,962.0,29.0,0.03014553,0.731,0.4495,,False
False,1.0,0.2739,0.279,0.279,0.279,22.0,51487115.0,1.0,1.0,964.0,3.0,0.0031120332,0.6945,0.5232,,False
False,1.0,0.279,0.28,0.28,0.28,23.0,51487321.0,1.0,1.0,964.0,1.0,0.0010373445,0.6945,0.5227,,False
False,1.0,,0.0082,0.2802,0.1401,24.0,51741785.0,2.0,2.0,966.0,4.0,0.004140787,0.6996,0.5263,,False
False,1.0,0.2699,0.2767,0.2816,0.1408,25.0,51913211.0,2.0,2.0,968.0,4.0,0.004132231,0.7002,0.5267,,False
False,1.0,0.1825,0.0886,0.0886,0.0886,26.0,60893972.0,1.0,2.0,477.0,491.0,1.0293502,0.65,0.3456,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,0.5791,0.3314,,True
False,0.0,0.2875,0.6438,0.6438,0.6438,1.0,26910161.0,1.0,1.0,16.0,8.0,0.5,0.8461,0.5332,,True
False,0.0,,0.1111,0.4404,0.2202,2.0,37306951.0,2.0,2.0,16.0,2.0,0.125,0.8902,0.3295,,False
False,0.0,0.1111,0.1111,0.4404,0.2202,3.0,37306969.0,2.0,2.0,16.0,2.0,0.125,0.8903,0.3291,,False
False,0.0,0.3293,0.3293,0.4404,0.2202,4.0,37319431.0,2.0,2.0,16.0,2.0,0.125,0.8908,0.3302,,False
False,0.0,0.1406,0.0945,0.0945,0.0945,5.0,55644543.0,1.0,2.0,8.0,8.0,1.0,0.65,0.3456,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,51.0,51.0,1.0,0.7867,0.7243,,True
False,0.0,0.996,0.9962,0.9962,0.9962,1.0,129563.0,1.0,1.0,51.0,2.0,0.039215688,0.8619,0.6821,4.0,True
False,0.0,0.5226,0.7613,0.7613,0.7613,2.0,14038450.0,1.0,1.0,102.0,51.0,0.5,0.8461,0.5332,,True
False,0.0,0.7452,0.7453,0.7453,0.7453,3.0,14541449.0,1.0,1.0,102.0,1.0,0.009803922,0.844,0.5316,4.0,False
False,0.0,0.7453,0.755,0.755,0.755,4.0,14555367.0,1.0,1.0,105.0,5.0,0.04761905,0.8434,0.5351,4.0,True
False,0.0,0.2036,0.1423,0.1423,0.1423,5.0,42772832.0,1.0,1.0,51.0,54.0,1.0588236,0.65,0.3456,,False
True,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,269.0,269.0,1.0,0.6032,0.3347,,True
False,1.0,1.0,1.0,1.0,1.0,1.0,7039.0,1.0,1.0,538.0,269.0,0.5,0.5929,0.3571,,False
False,1.0,0.9569,0.9601,0.9601,0.9601,2.0,1031205.0,1.0,1.0,522.0,35.0,0.06704981,0.5931,0.3611,,True
False,1.0,0.9562,0.959,0.959,0.959,3.0,1121761.0,1.0,1.0,531.0,21.0,0.03954802,0.5932,0.3609,,True
True,2.0,0.8927,0.9177,0.9177,0.9177,4.0,2620552.0,1.0,1.0,586.0,76.0,0.12969284,0.5927,0.3614,,True
False,2.0,0.9102,0.9107,0.9107,0.9107,5.0,2848732.0,1.0,1.0,586.0,9.0,0.015358361,0.5927,0.3607,,True
False,2.0,0.9073,0.9094,0.9094,0.9094,6.0,2931788.0,1.0,1.0,588.0,19.0,0.032312926,0.5928,0.3607,,True
False,2.0,0.9067,0.9081,0.9081,0.9081,7.0,2939762.0,1.0,1.0,592.0,4.0,0.006756757,0.5928,0.3603,,True
False,2.0,0.9074,0.9075,0.9075,0.9075,8.0,3005436.0,1.0,1.0,592.0,2.0,0.0033783785,0.5929,0.3594,,True
False,2.0,0.9046,0.9119,0.9119,0.9119,9.0,3027842.0,1.0,1.0,599.0,21.0,0.03505843,0.593,0.3589,,True
False,2.0,0.9046,0.9097,0.9097,0.9097,10.0,3207674.0,1.0,1.0,590.0,27.0,0.04576271,0.593,0.3579,,True
False,2.0,0.909,0.9098,0.9098,0.9098,11.0,3274678.0,1.0,1.0,590.0,3.0,0.0050847456,0.593,0.3569,,True
False,2.0,0.9059,0.9056,0.9056,0.9056,12.0,3364671.0,1.0,1.0,589.0,1.0,0.0016977929,0.593,0.3566,,False
False,2.0,0.8924,0.8929,0.8929,0.8929,13.0,3638206.0,1.0,1.0,589.0,2.0,0.0033955858,0.5787,0.3295,,True
