isRefactor,totalRefactors,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,revision,age,authors,totalAuthors,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions,isSZZBugIntroducer
False,1.0,,0.0441,0.1716,0.0214,23.0,68605476.0,8.0,8.0,330.0,14.0,0.042424243,0.7086,0.7348,,True
False,1.0,0.0441,0.0467,0.1736,0.0217,24.0,68623855.0,8.0,8.0,330.0,2.0,0.006060606,0.7086,0.734,,False
False,1.0,0.0283,0.0284,0.1098,0.0137,25.0,78269371.0,8.0,8.0,329.0,1.0,0.0030395137,0.5405,0.7891,,False
False,1.0,0.0281,0.0334,0.1134,0.0142,26.0,78466779.0,8.0,8.0,330.0,1.0,0.003030303,0.542,0.7896,,False
False,1.0,0.0027,0.0216,0.0473,0.0059,27.0,107673394.0,8.0,8.0,333.0,5.0,0.015015015,0.3452,0.7431,,False
False,1.0,,0.0909,0.1229,0.0137,28.0,114124534.0,9.0,9.0,366.0,33.0,0.09016393,0.4338,0.7359,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,223.0,223.0,1.0,0.5662,0.6162,2.0,True
False,0.0,0.9723,0.9745,0.9745,0.9745,1.0,626398.0,1.0,1.0,237.0,18.0,0.07594936,0.5732,0.6191,2.0,False
False,0.0,0.959,0.9602,0.9602,0.9602,2.0,1032991.0,1.0,1.0,240.0,4.0,0.016666668,0.5537,0.6329,2.0,False
False,0.0,0.9565,0.9573,0.9573,0.9573,3.0,1118575.0,1.0,1.0,243.0,3.0,0.012345679,0.5465,0.6387,2.0,False
False,0.0,,0.0158,0.9249,0.4625,4.0,1825431.0,2.0,2.0,243.0,6.0,0.024691358,0.6133,0.6552,2.0,False
False,0.0,,0.0079,0.9038,0.3013,5.0,2334397.0,3.0,3.0,243.0,2.0,0.008230452,0.5948,0.6668,2.0,True
