isRefactor,totalRefactors,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,revision,age,authors,totalAuthors,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions,isSZZBugIntroducer
False,1.0,0.1388,0.653,0.6604,0.3302,4.0,55636303.0,2.0,3.0,37.0,24.0,0.6486486,0.7579,0.6482,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,47.0,47.0,1.0,0.6911,0.0002,,True
False,0.0,,0.1754,0.3831,0.1916,1.0,29780955.0,2.0,2.0,55.0,9.0,0.16363636,0.6258,0.6459,,True
False,0.0,,0.1515,0.4647,0.1549,2.0,29955483.0,3.0,3.0,63.0,9.0,0.14285715,0.6244,0.7563,,False
True,1.0,0.0633,0.2086,0.3242,0.1081,3.0,52254544.0,3.0,3.0,44.0,28.0,0.6363636,0.7538,0.7303,,False
False,1.0,0.1784,0.2633,0.3547,0.1182,4.0,55636303.0,3.0,3.0,47.0,6.0,0.12765957,0.7579,0.6482,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,129.0,129.0,1.0,0.6911,0.0002,5.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,45.0,45.0,1.0,0.6911,0.0002,3.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,51.0,51.0,1.0,0.6911,0.0002,1.0,True
False,0.0,0.5438,0.5613,0.5613,0.5613,1.0,13133022.0,1.0,1.0,50.0,3.0,0.06,0.6685,0.1625,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,169.0,169.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,75.0,75.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,131.0,131.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,202.0,202.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,45.0,45.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,89.0,89.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,7.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,86.0,86.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,11.0,11.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,49.0,49.0,1.0,0.6911,0.0002,4.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,55.0,55.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,66.0,66.0,1.0,0.6911,0.0002,2.0,True
False,0.0,0.5438,0.5574,0.5574,0.5574,1.0,13133022.0,1.0,1.0,65.0,3.0,0.046153847,0.6685,0.1625,2.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,78.0,78.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,59.0,59.0,1.0,0.6911,0.0002,1.0,True
False,0.0,0.5438,0.5592,0.5592,0.5592,1.0,13133022.0,1.0,1.0,58.0,3.0,0.05172414,0.6685,0.1625,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,166.0,166.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,173.0,173.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,39.0,39.0,1.0,0.6911,0.0002,1.0,True
False,0.0,0.5438,0.5666,0.5666,0.5666,1.0,13133022.0,1.0,1.0,38.0,3.0,0.078947365,0.6685,0.1625,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,224.0,224.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,39.0,39.0,1.0,0.6911,0.0002,1.0,True
False,0.0,0.5438,0.5666,0.5666,0.5666,1.0,13133022.0,1.0,1.0,38.0,3.0,0.078947365,0.6685,0.1625,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,154.0,154.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,51.0,51.0,1.0,0.6911,0.0002,1.0,True
False,0.0,0.5438,0.5613,0.5613,0.5613,1.0,13133022.0,1.0,1.0,50.0,3.0,0.06,0.6685,0.1625,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,169.0,169.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,42.0,42.0,1.0,0.6911,0.0002,1.0,True
False,0.0,0.5438,0.565,0.565,0.565,1.0,13133022.0,1.0,1.0,41.0,3.0,0.07317073,0.6685,0.1625,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,158.0,158.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,51.0,51.0,1.0,0.6911,0.0002,1.0,True
False,0.0,0.5438,0.5613,0.5613,0.5613,1.0,13133022.0,1.0,1.0,50.0,3.0,0.06,0.6685,0.1625,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,150.0,150.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,53.0,53.0,1.0,0.6911,0.0002,1.0,True
False,0.0,0.5438,0.5607,0.5607,0.5607,1.0,13133022.0,1.0,1.0,52.0,3.0,0.057692308,0.6685,0.1625,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,66.0,66.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,42.0,42.0,1.0,0.6911,0.0002,1.0,True
False,0.0,0.5438,0.565,0.565,0.565,1.0,13133022.0,1.0,1.0,41.0,3.0,0.07317073,0.6685,0.1625,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,95.0,95.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,72.0,72.0,1.0,0.6911,0.0002,1.0,True
False,0.0,0.5438,0.5563,0.5563,0.5563,1.0,13133022.0,1.0,1.0,71.0,3.0,0.04225352,0.6685,0.1625,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,70.0,70.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,51.0,51.0,1.0,0.6911,0.0002,1.0,True
False,0.0,0.5438,0.5613,0.5613,0.5613,1.0,13133022.0,1.0,1.0,50.0,3.0,0.06,0.6685,0.1625,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,90.0,90.0,1.0,0.6911,0.0002,3.0,True
False,0.0,0.5438,0.5538,0.5538,0.5538,1.0,13133022.0,1.0,1.0,89.0,3.0,0.033707865,0.6685,0.1625,3.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,146.0,146.0,1.0,0.6911,0.0002,3.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,48.0,48.0,1.0,0.6911,0.0002,2.0,True
False,0.0,0.5438,0.5711,0.5711,0.5711,1.0,13133022.0,1.0,1.0,48.0,4.0,0.083333336,0.6685,0.1625,2.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,73.0,73.0,1.0,0.6911,0.0002,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,74.0,74.0,1.0,0.6911,0.0002,2.0,True
False,0.0,0.5438,0.5738,0.5738,0.5738,1.0,13133022.0,1.0,1.0,74.0,8.0,0.10810811,0.6685,0.1625,2.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,77.0,77.0,1.0,0.6911,0.0002,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,57.0,57.0,1.0,0.6911,0.0002,2.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,26.0,26.0,1.0,0.6911,0.0002,1.0,True
False,0.0,0.5438,0.6089,0.6089,0.6089,1.0,13133022.0,1.0,1.0,26.0,6.0,0.23076923,0.6685,0.1625,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1311.0,1311.0,1.0,0.6911,0.0002,30.0,True
False,0.0,0.5438,0.5455,0.5455,0.5455,1.0,13133022.0,1.0,1.0,1294.0,22.0,0.017001545,0.6685,0.1625,30.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,19.0,19.0,1.0,0.6911,0.0002,2.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,654.0,654.0,1.0,0.6911,0.0002,18.0,True
